Gastos medios y distribución porcentual;Quintil de gasto;Códigos de gasto (2 dígitos);Periodo;Total
Gasto medio por hogar;Quintil 4;12 Otros bienes y servicios;2023;2.887,24
Gasto medio por hogar;Quintil 4;12 Otros bienes y servicios;2022;2.826,58
Gasto medio por hogar;Quintil 4;12 Otros bienes y servicios;2021;2.566,89
Gasto medio por hogar;Quintil 4;12 Otros bienes y servicios;2020;2.362,95
Gasto medio por hogar;Quintil 4;12 Otros bienes y servicios;2019;2.669,75
Gasto medio por hogar;Quintil 4;12 Otros bienes y servicios;2018;2.666,03
Gasto medio por hogar;Quintil 4;12 Otros bienes y servicios;2017;2.649,28
Gasto medio por hogar;Quintil 4;12 Otros bienes y servicios;2016;2.608,04
Gasto medio por hogar;Quintil 4;12 Otros bienes y servicios;2015;2.314,96
Gasto medio por hogar;Quintil 4;12 Otros bienes y servicios;2014;2.314,41
Gasto medio por hogar;Quintil 4;12 Otros bienes y servicios;2013;2.266,11
Gasto medio por hogar;Quintil 4;12 Otros bienes y servicios;2012;2.413,36
Gasto medio por hogar;Quintil 4;12 Otros bienes y servicios;2011;2.399,65
Gasto medio por hogar;Quintil 4;12 Otros bienes y servicios;2010;2.504,98
Gasto medio por hogar;Quintil 4;12 Otros bienes y servicios;2009;2.579,99
Gasto medio por hogar;Quintil 4;12 Otros bienes y servicios;2008;2.748,35
Gasto medio por hogar;Quintil 4;12 Otros bienes y servicios;2007;2.629,38
Gasto medio por hogar;Quintil 4;12 Otros bienes y servicios;2006;2.631,83
Gasto medio por hogar;Quintil 5;Índice general;2023;57.209,1
Gasto medio por hogar;Quintil 5;Índice general;2022;54.863,8
Gasto medio por hogar;Quintil 5;Índice general;2021;51.204,71
Gasto medio por hogar;Quintil 5;Índice general;2020;47.382,97
Gasto medio por hogar;Quintil 5;Índice general;2019;53.426,63
Gasto medio por hogar;Quintil 5;Índice general;2018;52.983,35
Gasto medio por hogar;Quintil 5;Índice general;2017;52.033,8
Gasto medio por hogar;Quintil 5;Índice general;2016;49.866,99
Gasto medio por hogar;Quintil 5;Índice general;2015;48.826,28
Gasto medio por hogar;Quintil 5;Índice general;2014;48.207,46
Gasto medio por hogar;Quintil 5;Índice general;2013;48.173,91
Gasto medio por hogar;Quintil 5;Índice general;2012;49.678,66
Gasto medio por hogar;Quintil 5;Índice general;2011;51.820,55
Gasto medio por hogar;Quintil 5;Índice general;2010;52.502,4
Gasto medio por hogar;Quintil 5;Índice general;2009;54.244,57
Gasto medio por hogar;Quintil 5;Índice general;2008;57.095,42
Gasto medio por hogar;Quintil 5;Índice general;2007;58.840,59
Gasto medio por hogar;Quintil 5;Índice general;2006;56.326,11
Gasto medio por hogar;Quintil 5;01 Alimentos y bebidas no alcohólicas;2023;7.118,49
Gasto medio por hogar;Quintil 5;01 Alimentos y bebidas no alcohólicas;2022;6.815,34
Gasto medio por hogar;Quintil 5;01 Alimentos y bebidas no alcohólicas;2021;6.388,62
Gasto medio por hogar;Quintil 5;01 Alimentos y bebidas no alcohólicas;2020;5.930,91
Gasto medio por hogar;Quintil 5;01 Alimentos y bebidas no alcohólicas;2019;5.586,09
Gasto medio por hogar;Quintil 5;01 Alimentos y bebidas no alcohólicas;2018;5.422,21
Gasto medio por hogar;Quintil 5;01 Alimentos y bebidas no alcohólicas;2017;5.341,02
Gasto medio por hogar;Quintil 5;01 Alimentos y bebidas no alcohólicas;2016;5.383,69
Gasto medio por hogar;Quintil 5;01 Alimentos y bebidas no alcohólicas;2015;5.412,13
Gasto medio por hogar;Quintil 5;01 Alimentos y bebidas no alcohólicas;2014;5.258,38
Gasto medio por hogar;Quintil 5;01 Alimentos y bebidas no alcohólicas;2013;5.314,41
Gasto medio por hogar;Quintil 5;01 Alimentos y bebidas no alcohólicas;2012;5.251,84
Gasto medio por hogar;Quintil 5;01 Alimentos y bebidas no alcohólicas;2011;5.159,15
Gasto medio por hogar;Quintil 5;01 Alimentos y bebidas no alcohólicas;2010;5.212,69
Gasto medio por hogar;Quintil 5;01 Alimentos y bebidas no alcohólicas;2009;5.452,64
Gasto medio por hogar;Quintil 5;01 Alimentos y bebidas no alcohólicas;2008;5.744,69
Gasto medio por hogar;Quintil 5;01 Alimentos y bebidas no alcohólicas;2007;5.651,27
Gasto medio por hogar;Quintil 5;01 Alimentos y bebidas no alcohólicas;2006;5.432,1
Gasto medio por hogar;Quintil 5;02 Bebidas alcohólicas y tabaco;2023;730,82
Gasto medio por hogar;Quintil 5;02 Bebidas alcohólicas y tabaco;2022;760,11
Gasto medio por hogar;Quintil 5;02 Bebidas alcohólicas y tabaco;2021;738,39
Gasto medio por hogar;Quintil 5;02 Bebidas alcohólicas y tabaco;2020;767,14
Gasto medio por hogar;Quintil 5;02 Bebidas alcohólicas y tabaco;2019;692,19
Gasto medio por hogar;Quintil 5;02 Bebidas alcohólicas y tabaco;2018;698
Gasto medio por hogar;Quintil 5;02 Bebidas alcohólicas y tabaco;2017;724,86
Gasto medio por hogar;Quintil 5;02 Bebidas alcohólicas y tabaco;2016;727,4
Gasto medio por hogar;Quintil 5;02 Bebidas alcohólicas y tabaco;2015;689,05
Gasto medio por hogar;Quintil 5;02 Bebidas alcohólicas y tabaco;2014;669,54
Gasto medio por hogar;Quintil 5;02 Bebidas alcohólicas y tabaco;2013;702,94
Gasto medio por hogar;Quintil 5;02 Bebidas alcohólicas y tabaco;2012;723,18
Gasto medio por hogar;Quintil 5;02 Bebidas alcohólicas y tabaco;2011;782,75
Gasto medio por hogar;Quintil 5;02 Bebidas alcohólicas y tabaco;2010;764,96
Gasto medio por hogar;Quintil 5;02 Bebidas alcohólicas y tabaco;2009;755,32
Gasto medio por hogar;Quintil 5;02 Bebidas alcohólicas y tabaco;2008;770,66
Gasto medio por hogar;Quintil 5;02 Bebidas alcohólicas y tabaco;2007;790,4
Gasto medio por hogar;Quintil 5;02 Bebidas alcohólicas y tabaco;2006;715,92
Gasto medio por hogar;Quintil 5;03 Vestido y calzado;2023;2.353,69
Gasto medio por hogar;Quintil 5;03 Vestido y calzado;2022;2.201,96
Gasto medio por hogar;Quintil 5;03 Vestido y calzado;2021;2.093,06
Gasto medio por hogar;Quintil 5;03 Vestido y calzado;2020;1.988,23
Gasto medio por hogar;Quintil 5;03 Vestido y calzado;2019;2.676,93
Gasto medio por hogar;Quintil 5;03 Vestido y calzado;2018;2.734,73
Gasto medio por hogar;Quintil 5;03 Vestido y calzado;2017;2.913,83
Gasto medio por hogar;Quintil 5;03 Vestido y calzado;2016;2.820,41
Gasto medio por hogar;Quintil 5;03 Vestido y calzado;2015;2.695,42
Gasto medio por hogar;Quintil 5;03 Vestido y calzado;2014;2.803,38
Gasto medio por hogar;Quintil 5;03 Vestido y calzado;2013;2.773,87
Gasto medio por hogar;Quintil 5;03 Vestido y calzado;2012;2.804,41
Gasto medio por hogar;Quintil 5;03 Vestido y calzado;2011;3.031,62
Gasto medio por hogar;Quintil 5;03 Vestido y calzado;2010;3.314,25
Gasto medio por hogar;Quintil 5;03 Vestido y calzado;2009;3.479,51
Gasto medio por hogar;Quintil 5;03 Vestido y calzado;2008;3.895,36
Gasto medio por hogar;Quintil 5;03 Vestido y calzado;2007;4.271,77
Gasto medio por hogar;Quintil 5;03 Vestido y calzado;2006;4.219,11
Gasto medio por hogar;Quintil 5;04 Vivienda, agua, electricidad, gas y otros combustibles;2023;15.438,02
Gasto medio por hogar;Quintil 5;04 Vivienda, agua, electricidad, gas y otros combustibles;2022;14.792,88
Gasto medio por hogar;Quintil 5;04 Vivienda, agua, electricidad, gas y otros combustibles;2021;14.929,44
Gasto medio por hogar;Quintil 5;04 Vivienda, agua, electricidad, gas y otros combustibles;2020;15.009,2
Gasto medio por hogar;Quintil 5;04 Vivienda, agua, electricidad, gas y otros combustibles;2019;14.661,56
Gasto medio por hogar;Quintil 5;04 Vivienda, agua, electricidad, gas y otros combustibles;2018;14.204,56
Gasto medio por hogar;Quintil 5;04 Vivienda, agua, electricidad, gas y otros combustibles;2017;13.416,14
Gasto medio por hogar;Quintil 5;04 Vivienda, agua, electricidad, gas y otros combustibles;2016;13.256,72
Gasto medio por hogar;Quintil 5;04 Vivienda, agua, electricidad, gas y otros combustibles;2015;13.133,5
Gasto medio por hogar;Quintil 5;04 Vivienda, agua, electricidad, gas y otros combustibles;2014;13.175,01
Gasto medio por hogar;Quintil 5;04 Vivienda, agua, electricidad, gas y otros combustibles;2013;13.831,22
Gasto medio por hogar;Quintil 5;04 Vivienda, agua, electricidad, gas y otros combustibles;2012;13.980,11
Gasto medio por hogar;Quintil 5;04 Vivienda, agua, electricidad, gas y otros combustibles;2011;13.959,51
Gasto medio por hogar;Quintil 5;04 Vivienda, agua, electricidad, gas y otros combustibles;2010;13.437,31
Gasto medio por hogar;Quintil 5;04 Vivienda, agua, electricidad, gas y otros combustibles;2009;13.623,99
Gasto medio por hogar;Quintil 5;04 Vivienda, agua, electricidad, gas y otros combustibles;2008;12.763,87
Gasto medio por hogar;Quintil 5;04 Vivienda, agua, electricidad, gas y otros combustibles;2007;11.995,31
Gasto medio por hogar;Quintil 5;04 Vivienda, agua, electricidad, gas y otros combustibles;2006;11.015,82
Gasto medio por hogar;Quintil 5;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2023;2.839,5
Gasto medio por hogar;Quintil 5;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2022;2.638,55
Gasto medio por hogar;Quintil 5;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2021;2.763,48
Gasto medio por hogar;Quintil 5;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2020;2.452,53
Gasto medio por hogar;Quintil 5;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2019;2.872,89
Gasto medio por hogar;Quintil 5;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2018;3.007,66
Gasto medio por hogar;Quintil 5;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2017;2.902,59
Gasto medio por hogar;Quintil 5;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2016;2.822,95
Gasto medio por hogar;Quintil 5;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2015;2.532,09
Gasto medio por hogar;Quintil 5;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2014;2.372,37
Gasto medio por hogar;Quintil 5;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2013;2.601,02
Gasto medio por hogar;Quintil 5;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2012;2.792,8
Gasto medio por hogar;Quintil 5;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2011;3.107,62
Gasto medio por hogar;Quintil 5;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2010;3.213,63
Gasto medio por hogar;Quintil 5;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2009;3.369,18
Gasto medio por hogar;Quintil 5;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2008;3.578,42
Gasto medio por hogar;Quintil 5;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2007;4.070,32
Gasto medio por hogar;Quintil 5;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2006;4.142,33
Gasto medio por hogar;Quintil 5;06 Sanidad;2023;2.464,02
Gasto medio por hogar;Quintil 5;06 Sanidad;2022;2.483,57
Gasto medio por hogar;Quintil 5;06 Sanidad;2021;2.462,19
Gasto medio por hogar;Quintil 5;06 Sanidad;2020;1.996,56
Gasto medio por hogar;Quintil 5;06 Sanidad;2019;2.013,46
Gasto medio por hogar;Quintil 5;06 Sanidad;2018;1.961,81
Gasto medio por hogar;Quintil 5;06 Sanidad;2017;1.902,09
Gasto medio por hogar;Quintil 5;06 Sanidad;2016;1.914,05
Gasto medio por hogar;Quintil 5;06 Sanidad;2015;2.131,72
Gasto medio por hogar;Quintil 5;06 Sanidad;2014;2.230,76
Gasto medio por hogar;Quintil 5;06 Sanidad;2013;2.005,67
Gasto medio por hogar;Quintil 5;06 Sanidad;2012;2.117,34
Gasto medio por hogar;Quintil 5;06 Sanidad;2011;2.019,34
Gasto medio por hogar;Quintil 5;06 Sanidad;2010;2.178
Gasto medio por hogar;Quintil 5;06 Sanidad;2009;2.199,11
Gasto medio por hogar;Quintil 5;06 Sanidad;2008;2.304,44
Gasto medio por hogar;Quintil 5;06 Sanidad;2007;2.157,53
Gasto medio por hogar;Quintil 5;06 Sanidad;2006;1.896,98
Gasto medio por hogar;Quintil 5;07 Transporte;2023;9.021,87
Gasto medio por hogar;Quintil 5;07 Transporte;2022;9.167,75
Gasto medio por hogar;Quintil 5;07 Transporte;2021;8.036,47
Gasto medio por hogar;Quintil 5;07 Transporte;2020;6.874,11
Gasto medio por hogar;Quintil 5;07 Transporte;2019;9.062,71
Gasto medio por hogar;Quintil 5;07 Transporte;2018;8.922,14
Gasto medio por hogar;Quintil 5;07 Transporte;2017;8.669,45
Gasto medio por hogar;Quintil 5;07 Transporte;2016;7.636,89
Gasto medio por hogar;Quintil 5;07 Transporte;2015;7.386,46
Gasto medio por hogar;Quintil 5;07 Transporte;2014;7.507,47
Gasto medio por hogar;Quintil 5;07 Transporte;2013;6.868,31
Gasto medio por hogar;Quintil 5;07 Transporte;2012;7.363,85
Gasto medio por hogar;Quintil 5;07 Transporte;2011;8.157,74
Gasto medio por hogar;Quintil 5;07 Transporte;2010;8.488,53
Gasto medio por hogar;Quintil 5;07 Transporte;2009;8.535,49
Gasto medio por hogar;Quintil 5;07 Transporte;2008;10.624,91
Gasto medio por hogar;Quintil 5;07 Transporte;2007;11.502,19
Gasto medio por hogar;Quintil 5;07 Transporte;2006;11.329,26
Gasto medio por hogar;Quintil 5;08 Comunicaciones;2023;1.132,3
Gasto medio por hogar;Quintil 5;08 Comunicaciones;2022;1.163,98
Gasto medio por hogar;Quintil 5;08 Comunicaciones;2021;1.176,32
Gasto medio por hogar;Quintil 5;08 Comunicaciones;2020;1.182,97
Gasto medio por hogar;Quintil 5;08 Comunicaciones;2019;1.225,49
Gasto medio por hogar;Quintil 5;08 Comunicaciones;2018;1.230,57
Gasto medio por hogar;Quintil 5;08 Comunicaciones;2017;1.216,76
Gasto medio por hogar;Quintil 5;08 Comunicaciones;2016;1.157,11
Gasto medio por hogar;Quintil 5;08 Comunicaciones;2015;1.028,55
Gasto medio por hogar;Quintil 5;08 Comunicaciones;2014;1.016,79
Gasto medio por hogar;Quintil 5;08 Comunicaciones;2013;1.064,09
Gasto medio por hogar;Quintil 5;08 Comunicaciones;2012;1.123,45
Gasto medio por hogar;Quintil 5;08 Comunicaciones;2011;1.219,94
Gasto medio por hogar;Quintil 5;08 Comunicaciones;2010;1.264,29
Gasto medio por hogar;Quintil 5;08 Comunicaciones;2009;1.305,37
Gasto medio por hogar;Quintil 5;08 Comunicaciones;2008;1.355,58
Gasto medio por hogar;Quintil 5;08 Comunicaciones;2007;1.348,58
Gasto medio por hogar;Quintil 5;08 Comunicaciones;2006;1.252,93
Gasto medio por hogar;Quintil 5;09 Ocio y cultura;2023;3.736,51
Gasto medio por hogar;Quintil 5;09 Ocio y cultura;2022;3.368,7
Gasto medio por hogar;Quintil 5;09 Ocio y cultura;2021;2.795,29
Gasto medio por hogar;Quintil 5;09 Ocio y cultura;2020;2.438,92
Gasto medio por hogar;Quintil 5;09 Ocio y cultura;2019;3.512,09
Gasto medio por hogar;Quintil 5;09 Ocio y cultura;2018;3.512,55
Gasto medio por hogar;Quintil 5;09 Ocio y cultura;2017;3.583,99
Gasto medio por hogar;Quintil 5;09 Ocio y cultura;2016;3.379,92
Gasto medio por hogar;Quintil 5;09 Ocio y cultura;2015;3.412,06
Gasto medio por hogar;Quintil 5;09 Ocio y cultura;2014;3.262,52
Gasto medio por hogar;Quintil 5;09 Ocio y cultura;2013;3.310,62
Gasto medio por hogar;Quintil 5;09 Ocio y cultura;2012;3.495,06
Gasto medio por hogar;Quintil 5;09 Ocio y cultura;2011;3.892,57
Gasto medio por hogar;Quintil 5;09 Ocio y cultura;2010;4.059,34
Gasto medio por hogar;Quintil 5;09 Ocio y cultura;2009;4.345,1
Gasto medio por hogar;Quintil 5;09 Ocio y cultura;2008;4.478,4
Gasto medio por hogar;Quintil 5;09 Ocio y cultura;2007;4.703,93
Gasto medio por hogar;Quintil 5;09 Ocio y cultura;2006;4.336,88
Gasto medio por hogar;Quintil 5;10 Enseñanza;2023;1.092,67
Gasto medio por hogar;Quintil 5;10 Enseñanza;2022;933,13
Gasto medio por hogar;Quintil 5;10 Enseñanza;2021;938,73
Gasto medio por hogar;Quintil 5;10 Enseñanza;2020;973,9
Gasto medio por hogar;Quintil 5;10 Enseñanza;2019;1.035,88
Gasto medio por hogar;Quintil 5;10 Enseñanza;2018;971,58
Gasto medio por hogar;Quintil 5;10 Enseñanza;2017;889
Gasto medio por hogar;Quintil 5;10 Enseñanza;2016;902,95
Gasto medio por hogar;Quintil 5;10 Enseñanza;2015;930,37
Gasto medio por hogar;Quintil 5;10 Enseñanza;2014;883,34
Gasto medio por hogar;Quintil 5;10 Enseñanza;2013;942,63
Gasto medio por hogar;Quintil 5;10 Enseñanza;2012;799,83
Gasto medio por hogar;Quintil 5;10 Enseñanza;2011;789,52
Gasto medio por hogar;Quintil 5;10 Enseñanza;2010;775,79
Gasto medio por hogar;Quintil 5;10 Enseñanza;2009;726,19
Gasto medio por hogar;Quintil 5;10 Enseñanza;2008;715,89
Gasto medio por hogar;Quintil 5;10 Enseñanza;2007;745,11
Gasto medio por hogar;Quintil 5;10 Enseñanza;2006;764,73
Gasto medio por hogar;Quintil 5;11 Restaurantes y hoteles;2023;7.092,21
Gasto medio por hogar;Quintil 5;11 Restaurantes y hoteles;2022;6.416,62
Gasto medio por hogar;Quintil 5;11 Restaurantes y hoteles;2021;5.033,42
Gasto medio por hogar;Quintil 5;11 Restaurantes y hoteles;2020;3.919,83
Gasto medio por hogar;Quintil 5;11 Restaurantes y hoteles;2019;5.930,29
Gasto medio por hogar;Quintil 5;11 Restaurantes y hoteles;2018;6.111,12
Gasto medio por hogar;Quintil 5;11 Restaurantes y hoteles;2017;6.296,35
Gasto medio por hogar;Quintil 5;11 Restaurantes y hoteles;2016;5.760,13
Gasto medio por hogar;Quintil 5;11 Restaurantes y hoteles;2015;5.568,08
Gasto medio por hogar;Quintil 5;11 Restaurantes y hoteles;2014;5.035,71
Gasto medio por hogar;Quintil 5;11 Restaurantes y hoteles;2013;4.848,07
Gasto medio por hogar;Quintil 5;11 Restaurantes y hoteles;2012;5.120,61
Gasto medio por hogar;Quintil 5;11 Restaurantes y hoteles;2011;5.534,55
Gasto medio por hogar;Quintil 5;11 Restaurantes y hoteles;2010;5.545,89
Gasto medio por hogar;Quintil 5;11 Restaurantes y hoteles;2009;5.780,43
Gasto medio por hogar;Quintil 5;11 Restaurantes y hoteles;2008;6.172,69
Gasto medio por hogar;Quintil 5;11 Restaurantes y hoteles;2007;6.563,41
Gasto medio por hogar;Quintil 5;11 Restaurantes y hoteles;2006;6.150,05
Gasto medio por hogar;Quintil 5;12 Otros bienes y servicios;2023;4.189
Gasto medio por hogar;Quintil 5;12 Otros bienes y servicios;2022;4.121,21
Gasto medio por hogar;Quintil 5;12 Otros bienes y servicios;2021;3.849,29
Gasto medio por hogar;Quintil 5;12 Otros bienes y servicios;2020;3.848,68
Gasto medio por hogar;Quintil 5;12 Otros bienes y servicios;2019;4.157,06
Gasto medio por hogar;Quintil 5;12 Otros bienes y servicios;2018;4.206,42
Gasto medio por hogar;Quintil 5;12 Otros bienes y servicios;2017;4.177,7
Gasto medio por hogar;Quintil 5;12 Otros bienes y servicios;2016;4.104,75
Gasto medio por hogar;Quintil 5;12 Otros bienes y servicios;2015;3.906,84
Gasto medio por hogar;Quintil 5;12 Otros bienes y servicios;2014;3.992,19
Gasto medio por hogar;Quintil 5;12 Otros bienes y servicios;2013;3.911,06
Gasto medio por hogar;Quintil 5;12 Otros bienes y servicios;2012;4.106,19
Gasto medio por hogar;Quintil 5;12 Otros bienes y servicios;2011;4.166,25
Gasto medio por hogar;Quintil 5;12 Otros bienes y servicios;2010;4.247,72
Gasto medio por hogar;Quintil 5;12 Otros bienes y servicios;2009;4.672,24
Gasto medio por hogar;Quintil 5;12 Otros bienes y servicios;2008;4.690,51
Gasto medio por hogar;Quintil 5;12 Otros bienes y servicios;2007;5.040,76
Gasto medio por hogar;Quintil 5;12 Otros bienes y servicios;2006;5.070,02
Gasto medio por persona;Total;Índice general;2023;13.120,1
Gasto medio por persona;Total;Índice general;2022;12.779,54
Gasto medio por persona;Total;Índice general;2021;11.779,97
Gasto medio por persona;Total;Índice general;2020;10.848,22
Gasto medio por persona;Total;Índice general;2019;12.151,5
Gasto medio por persona;Total;Índice general;2018;12.018,94
Gasto medio por persona;Total;Índice general;2017;11.726,36
Gasto medio por persona;Total;Índice general;2016;11.312,41
Gasto medio por persona;Total;Índice general;2015;10.981,77
Gasto medio por persona;Total;Índice general;2014;10.780,1
Gasto medio por persona;Total;Índice general;2013;10.715,52
Gasto medio por persona;Total;Índice general;2012;11.012,21
Gasto medio por persona;Total;Índice general;2011;11.280,88
Gasto medio por persona;Total;Índice general;2010;11.275,86
Gasto medio por persona;Total;Índice general;2009;11.439,02
Gasto medio por persona;Total;Índice general;2008;11.895,05
Gasto medio por persona;Total;Índice general;2007;11.757,59
Gasto medio por persona;Total;Índice general;2006;11.127,92
Gasto medio por persona;Total;01 Alimentos y bebidas no alcohólicas;2023;2.145,4
Gasto medio por persona;Total;01 Alimentos y bebidas no alcohólicas;2022;2.044,49
Gasto medio por persona;Total;01 Alimentos y bebidas no alcohólicas;2021;1.935,89
Gasto medio por persona;Total;01 Alimentos y bebidas no alcohólicas;2020;1.840,02
Gasto medio por persona;Total;01 Alimentos y bebidas no alcohólicas;2019;1.722,11
Gasto medio por persona;Total;01 Alimentos y bebidas no alcohólicas;2018;1.699,29
Gasto medio por persona;Total;01 Alimentos y bebidas no alcohólicas;2017;1.650,23
Gasto medio por persona;Total;01 Alimentos y bebidas no alcohólicas;2016;1.654,06
Gasto medio por persona;Total;01 Alimentos y bebidas no alcohólicas;2015;1.649,05
Gasto medio por persona;Total;01 Alimentos y bebidas no alcohólicas;2014;1.602,98
Gasto medio por persona;Total;01 Alimentos y bebidas no alcohólicas;2013;1.617,48
Gasto medio por persona;Total;01 Alimentos y bebidas no alcohólicas;2012;1.617,12
Gasto medio por persona;Total;01 Alimentos y bebidas no alcohólicas;2011;1.603,68
Gasto medio por persona;Total;01 Alimentos y bebidas no alcohólicas;2010;1.602,79
Gasto medio por persona;Total;01 Alimentos y bebidas no alcohólicas;2009;1.632,82
Gasto medio por persona;Total;01 Alimentos y bebidas no alcohólicas;2008;1.713,51
Gasto medio por persona;Total;01 Alimentos y bebidas no alcohólicas;2007;1.654,03
Gasto medio por persona;Total;01 Alimentos y bebidas no alcohólicas;2006;1.583,5
Gasto medio por persona;Total;02 Bebidas alcohólicas y tabaco;2023;190,51
Gasto medio por persona;Total;02 Bebidas alcohólicas y tabaco;2022;194,62
Gasto medio por persona;Total;02 Bebidas alcohólicas y tabaco;2021;199,65
Gasto medio por persona;Total;02 Bebidas alcohólicas y tabaco;2020;205,03
Gasto medio por persona;Total;02 Bebidas alcohólicas y tabaco;2019;207,44
Gasto medio por persona;Total;02 Bebidas alcohólicas y tabaco;2018;208,77
Gasto medio por persona;Total;02 Bebidas alcohólicas y tabaco;2017;215,44
Gasto medio por persona;Total;02 Bebidas alcohólicas y tabaco;2016;215,16
Gasto medio por persona;Total;02 Bebidas alcohólicas y tabaco;2015;208,75
Gasto medio por persona;Total;02 Bebidas alcohólicas y tabaco;2014;202,69
Gasto medio por persona;Total;02 Bebidas alcohólicas y tabaco;2013;210,53
Gasto medio por persona;Total;02 Bebidas alcohólicas y tabaco;2012;225,78
Gasto medio por persona;Total;02 Bebidas alcohólicas y tabaco;2011;234,15
Gasto medio por persona;Total;02 Bebidas alcohólicas y tabaco;2010;236,22
Gasto medio por persona;Total;02 Bebidas alcohólicas y tabaco;2009;233,78
Gasto medio por persona;Total;02 Bebidas alcohólicas y tabaco;2008;229,35
Gasto medio por persona;Total;02 Bebidas alcohólicas y tabaco;2007;221,03
Gasto medio por persona;Total;02 Bebidas alcohólicas y tabaco;2006;205,38
Gasto medio por persona;Total;03 Vestido y calzado;2023;530,72
Gasto medio por persona;Total;03 Vestido y calzado;2022;498,59
Gasto medio por persona;Total;03 Vestido y calzado;2021;465,65
Gasto medio por persona;Total;03 Vestido y calzado;2020;405,48
Gasto medio por persona;Total;03 Vestido y calzado;2019;569,55
Gasto medio por persona;Total;03 Vestido y calzado;2018;588,69
Gasto medio por persona;Total;03 Vestido y calzado;2017;608,59
Gasto medio por persona;Total;03 Vestido y calzado;2016;582,23
Gasto medio por persona;Total;03 Vestido y calzado;2015;557,73
Gasto medio por persona;Total;03 Vestido y calzado;2014;547,46
Gasto medio por persona;Total;03 Vestido y calzado;2013;532,16
Gasto medio por persona;Total;03 Vestido y calzado;2012;547,97
Gasto medio por persona;Total;03 Vestido y calzado;2011;597,06
Gasto medio por persona;Total;03 Vestido y calzado;2010;632,42
Gasto medio por persona;Total;03 Vestido y calzado;2009;659,59
Gasto medio por persona;Total;03 Vestido y calzado;2008;727,28
Gasto medio por persona;Total;03 Vestido y calzado;2007;769,78
Gasto medio por persona;Total;03 Vestido y calzado;2006;755,68
Gasto medio por persona;Total;04 Vivienda, agua, electricidad, gas y otros combustibles;2023;4.170,25
Gasto medio por persona;Total;04 Vivienda, agua, electricidad, gas y otros combustibles;2022;4.146,5
Gasto medio por persona;Total;04 Vivienda, agua, electricidad, gas y otros combustibles;2021;3.985,13
Gasto medio por persona;Total;04 Vivienda, agua, electricidad, gas y otros combustibles;2020;3.866,37
Gasto medio por persona;Total;04 Vivienda, agua, electricidad, gas y otros combustibles;2019;3.793,45
Gasto medio por persona;Total;04 Vivienda, agua, electricidad, gas y otros combustibles;2018;3.693,94
Gasto medio por persona;Total;04 Vivienda, agua, electricidad, gas y otros combustibles;2017;3.525
Gasto medio por persona;Total;04 Vivienda, agua, electricidad, gas y otros combustibles;2016;3.492,27
Gasto medio por persona;Total;04 Vivienda, agua, electricidad, gas y otros combustibles;2015;3.483,44
Gasto medio por persona;Total;04 Vivienda, agua, electricidad, gas y otros combustibles;2014;3.482,37
Gasto medio por persona;Total;04 Vivienda, agua, electricidad, gas y otros combustibles;2013;3.539,45
Gasto medio por persona;Total;04 Vivienda, agua, electricidad, gas y otros combustibles;2012;3.553,16
Gasto medio por persona;Total;04 Vivienda, agua, electricidad, gas y otros combustibles;2011;3.542,27
Gasto medio por persona;Total;04 Vivienda, agua, electricidad, gas y otros combustibles;2010;3.395,44
Gasto medio por persona;Total;04 Vivienda, agua, electricidad, gas y otros combustibles;2009;3.373,6
Gasto medio por persona;Total;04 Vivienda, agua, electricidad, gas y otros combustibles;2008;3.240,75
Gasto medio por persona;Total;04 Vivienda, agua, electricidad, gas y otros combustibles;2007;3.019,25
Gasto medio por persona;Total;04 Vivienda, agua, electricidad, gas y otros combustibles;2006;2.775,44
Gasto medio por persona;Total;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2023;542,77
Gasto medio por persona;Total;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2022;524,71
Gasto medio por persona;Total;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2021;518,11
Gasto medio por persona;Total;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;2020;470,3
